ID,Tipo,Data,Responsável,Fornecedor,Quem Recebeu,Quem Cadastrou,Local,Material,Tipo Material,Qtd Pacotes,Unids. por Pacote,Qtd Total,Valor Unit.,Valor Total,Obs,Status,Motivo Exclusão,Data Exclusão
1776339963014,Entrada,2026-04-16 08:45,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,LISIANTUS BRANCOS,ORNAMENTAÇÃO,4,36,144,0,0,,ATIVO,,
1776340118932,Saída,2026-04-16 08:46,MURILLO,,,,QUARTA PARADA,MARIANA,ORNAMENTAÇÃO,0,0,76,0,0,,ATIVO,,
1776340198286,Saída,2026-04-16 08:48,MURILLO,,,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,0,0,271,0,0,,ATIVO,,
1776360939654,Saída,2026-04-16 08:49,MURILLO,,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,47,6,282,0,0,,ATIVO,,
1776360981973,Saída,2026-04-16 14:35,MURILLO,,,,QUARTA PARADA,LISIANTUS BRANCOS,ORNAMENTAÇÃO,0,0,36,0,0,,ATIVO,,
1776422828320,Saída,2026-04-16 14:36,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,29,20,580,0,0,,ATIVO,,
1776422917282,Saída,2026-04-17 07:47,MURILLO,,,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,11,20,220,0,0,,ATIVO,,
1776422958359,Saída,2026-04-17 07:48,MURILLO,,,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,10,20,200,0,0,,ATIVO,,
1776423005790,Saída,2026-04-17 07:49,MURILLO,,,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,8,20,160,0,0,,ATIVO,,
1776423060867,Entrada,2026-04-17 07:50,MURILLO,,,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,137,6,822,0,0,,ATIVO,,
1776423091315,Entrada,2026-04-17 07:51,MURILLO,,,,QUARTA PARADA,MARIANA,ORNAMENTAÇÃO,30,6,180,0,0,,ATIVO,,
1776423233397,Saída,2026-04-17 07:51,MURILLO,,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,6,6,36,0,0,,ATIVO,,
1776423271678,Entrada,2026-04-17 07:53,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,12,19,228,0,0,,ATIVO,,
1776423379794,Saída,2026-04-17 07:54,MURILLO,,,,QUARTA PARADA,GERBÉRA LARANJA,VENDA LOJA,0,0,24,0,0,,ATIVO,,
